method,seed,round,block_id,work,eval_work,communication_round,time_sec,d,delta,M,lr_or_eta,eval_point,objective,stat_proxy,objective_x,stat_proxy_x,objective_ybar,stat_proxy_ybar,block_oracle_norm
NOG,10001,392,49.0,201728,114688,392,3.7318899631500244,100,0.1,8.0,0.3,y_bar,0.7229613065719604,0.007411538157612085,0.7229524850845337,0.0076081096194684505,0.7229613065719604,0.007411538157612085,0.009261470288038254
NOG,10001,456,57.0,234496,131072,456,4.305969953536987,100,0.1,8.0,0.3,y_bar,0.7226693034172058,0.008019156754016876,0.722669780254364,0.0072968038730323315,0.7226693034172058,0.008019156754016876,0.008874463848769665
NOG,10001,520,65.0,267264,147456,520,4.869957208633423,100,0.1,8.0,0.3,y_bar,0.7224168181419373,0.008619451895356178,0.7223419547080994,0.008101074025034904,0.7224168181419373,0.008619451895356178,0.008448640815913677
NOG,10001,584,73.0,300032,163840,584,5.4141693115234375,100,0.1,8.0,0.3,y_bar,0.721947431564331,0.008229441940784454,0.7219271659851074,0.008153452537953854,0.721947431564331,0.008229441940784454,0.009337518364191055
NOG,10001,648,81.0,332800,180224,648,6.171651124954224,100,0.1,8.0,0.3,y_bar,0.7215150594711304,0.007233146578073502,0.721526563167572,0.007417223881930113,0.7215150594711304,0.007233146578073502,0.009772554971277714
NOG,10001,712,89.0,365568,196608,712,6.7065393924713135,100,0.1,8.0,0.3,y_bar,0.721208393573761,0.008524823002517223,0.7211846709251404,0.007972637191414833,0.721208393573761,0.008524823002517223,0.008139275945723057
NOG,10001,776,97.0,398336,212992,776,7.341722726821899,100,0.1,8.0,0.3,y_bar,0.720836877822876,0.00819189753383398,0.7208117842674255,0.0072495280764997005,0.720836877822876,0.00819189753383398,0.008620294742286205
NOG,10001,840,105.0,431104,229376,840,8.051674127578735,100,0.1,8.0,0.3,y_bar,0.7204709053039551,0.00857502967119217,0.7204539179801941,0.007765767630189657,0.7204709053039551,0.00857502967119217,0.00998755730688572
NOG,10001,904,113.0,463872,245760,904,8.589458465576172,100,0.1,8.0,0.3,y_bar,0.7200406193733215,0.008144735358655453,0.7200208902359009,0.007573828101158142,0.7200406193733215,0.008144735358655453,0.009114880114793777
NOG,10001,968,121.0,496640,262144,968,9.174545049667358,100,0.1,8.0,0.3,y_bar,0.7196882963180542,0.007989400997757912,0.719668984413147,0.007841505110263824,0.7196882963180542,0.007989400997757912,0.010148798115551472
NOG,10001,1024,128.0,525312,278528,1024,9.707574367523193,100,0.1,8.0,0.3,y_bar,0.719386875629425,0.008509238250553608,0.7193364500999451,0.008276541717350483,0.719386875629425,0.008509238250553608,0.009434040635824203
SmoothedSGD,20001,1,,512,8192,1,0.050359249114990234,100,0.1,,0.05,x,0.7247974276542664,0.010059170424938202,0.7247974276542664,0.010059170424938202,,,
SmoothedSGD,20001,64,,32768,16384,64,0.5806474685668945,100,0.1,,0.05,x,0.7248014807701111,0.009586954489350319,0.7248014807701111,0.009586954489350319,,,
SmoothedSGD,20001,128,,65536,24576,128,1.0836546421051025,100,0.1,,0.05,x,0.7247956991195679,0.00855634082108736,0.7247956991195679,0.00855634082108736,,,
SmoothedSGD,20001,192,,98304,32768,192,1.5915420055389404,100,0.1,,0.05,x,0.7247929573059082,0.007720666937530041,0.7247929573059082,0.007720666937530041,,,
SmoothedSGD,20001,256,,131072,40960,256,2.072694778442383,100,0.1,,0.05,x,0.7247902750968933,0.006494465284049511,0.7247902750968933,0.006494465284049511,,,
SmoothedSGD,20001,320,,163840,49152,320,2.6284594535827637,100,0.1,,0.05,x,0.724772036075592,0.006951925810426474,0.724772036075592,0.006951925810426474,,,
SmoothedSGD,20001,384,,196608,57344,384,3.159970283508301,100,0.1,,0.05,x,0.7247588634490967,0.006814970169216394,0.7247588634490967,0.006814970169216394,,,
SmoothedSGD,20001,448,,229376,65536,448,3.7069923877716064,100,0.1,,0.05,x,0.7247486114501953,0.007296431809663773,0.7247486114501953,0.007296431809663773,,,
SmoothedSGD,20001,512,,262144,73728,512,4.226186037063599,100,0.1,,0.05,x,0.7247264981269836,0.0068803587928414345,0.7247264981269836,0.0068803587928414345,,,
SmoothedSGD,20001,576,,294912,81920,576,4.7549378871917725,100,0.1,,0.05,x,0.7247045636177063,0.007424568757414818,0.7247045636177063,0.007424568757414818,,,
SmoothedSGD,20001,640,,327680,90112,640,5.272622346878052,100,0.1,,0.05,x,0.7246723771095276,0.007577796466648579,0.7246723771095276,0.007577796466648579,,,
SmoothedSGD,20001,704,,360448,98304,704,5.8282201290130615,100,0.1,,0.05,x,0.7246500253677368,0.006645518820732832,0.7246500253677368,0.006645518820732832,,,
SmoothedSGD,20001,768,,393216,106496,768,6.325890779495239,100,0.1,,0.05,x,0.7246228456497192,0.00647808238863945,0.7246228456497192,0.00647808238863945,,,
SmoothedSGD,20001,832,,425984,114688,832,6.7901506423950195,100,0.1,,0.05,x,0.7246057391166687,0.0068775685504078865,0.7246057391166687,0.0068775685504078865,,,
SmoothedSGD,20001,896,,458752,122880,896,7.29234504699707,100,0.1,,0.05,x,0.7245810627937317,0.006047317758202553,0.7245810627937317,0.006047317758202553,,,
SmoothedSGD,20001,960,,491520,131072,960,7.884575605392456,100,0.1,,0.05,x,0.7245696783065796,0.006972718983888626,0.7245696783065796,0.006972718983888626,,,
SmoothedSGD,20001,1024,,524288,139264,1024,8.444362878799438,100,0.1,,0.05,x,0.7245495915412903,0.007021899335086346,0.7245495915412903,0.007021899335086346,,,
NOG,10002,8,1.0,5120,16384,8,0.16101336479187012,100,0.1,8.0,0.3,y_bar,0.7225825786590576,0.011244116351008415,0.7225779891014099,0.01077280007302761,0.7225825786590576,0.011244116351008415,0.013118017464876175
NOG,10002,72,9.0,37888,32768,72,0.809166431427002,100,0.1,8.0,0.3,y_bar,0.7220118045806885,0.008023329079151154,0.7219634056091309,0.0077563994564116,0.7220118045806885,0.008023329079151154,0.009115477092564106
NOG,10002,136,17.0,70656,49152,136,1.3636996746063232,100,0.1,8.0,0.3,y_bar,0.7213827967643738,0.00740167498588562,0.7213932275772095,0.008177848532795906,0.7213827967643738,0.00740167498588562,0.009800952859222889
NOG,10002,200,25.0,103424,65536,200,1.9798965454101562,100,0.1,8.0,0.3,y_bar,0.7208001613616943,0.006903927307575941,0.7207622528076172,0.008121066726744175,0.7208001613616943,0.006903927307575941,0.009549079462885857
NOG,10002,264,33.0,136192,81920,264,2.556347131729126,100,0.1,8.0,0.3,y_bar,0.7202878594398499,0.0081188278272748,0.7202610969543457,0.008182419463992119,0.7202878594398499,0.0081188278272748,0.010063308291137218
NOG,10002,328,41.0,168960,98304,328,3.16581392288208,100,0.1,8.0,0.3,y_bar,0.7198051810264587,0.0077235097996890545,0.719785749912262,0.008125797845423222,0.7198051810264587,0.0077235097996890545,0.0095982626080513
NOG,10002,392,49.0,201728,114688,392,3.716047525405884,100,0.1,8.0,0.3,y_bar,0.7194381356239319,0.007882091216742992,0.7194297313690186,0.007480916567146778,0.7194381356239319,0.007882091216742992,0.010342206805944443
NOG,10002,456,57.0,234496,131072,456,4.275946617126465,100,0.1,8.0,0.3,y_bar,0.7190672159194946,0.007391592487692833,0.7190843820571899,0.007350818254053593,0.7190672159194946,0.007391592487692833,0.00939075369387865
NOG,10002,520,65.0,267264,147456,520,4.831857681274414,100,0.1,8.0,0.3,y_bar,0.7187749147415161,0.0073322756215929985,0.7187563180923462,0.008335406892001629,0.7187749147415161,0.0073322756215929985,0.010379691608250141
NOG,10002,584,73.0,300032,163840,584,5.534049034118652,100,0.1,8.0,0.3,y_bar,0.718654990196228,0.007146467920392752,0.7186252474784851,0.007565190549939871,0.718654990196228,0.007146467920392752,0.009398338384926319
NOG,10002,648,81.0,332800,180224,648,6.145310163497925,100,0.1,8.0,0.3,y_bar,0.7182499170303345,0.007583300583064556,0.7182402014732361,0.006521372124552727,0.7182499170303345,0.007583300583064556,0.0089907580986619
NOG,10002,712,89.0,365568,196608,712,6.7281036376953125,100,0.1,8.0,0.3,y_bar,0.7179870009422302,0.007440453395247459,0.7179802656173706,0.007534846663475037,0.7179870009422302,0.007440453395247459,0.009428371675312519
NOG,10002,776,97.0,398336,212992,776,7.323006629943848,100,0.1,8.0,0.3,y_bar,0.7178481817245483,0.008002190850675106,0.7178340554237366,0.008345602080225945,0.7178481817245483,0.008002190850675106,0.01020197756588459
NOG,10002,840,105.0,431104,229376,840,7.88161039352417,100,0.1,8.0,0.3,y_bar,0.7176007032394409,0.008361631073057652,0.7176299095153809,0.007564850151538849,0.7176007032394409,0.008361631073057652,0.009635083377361298
NOG,10002,904,113.0,463872,245760,904,8.457100868225098,100,0.1,8.0,0.3,y_bar,0.7174267768859863,0.007139299530535936,0.7174126505851746,0.0068291896022856236,0.7174267768859863,0.007139299530535936,0.010118454694747925
NOG,10002,968,121.0,496640,262144,968,9.026780366897583,100,0.1,8.0,0.3,y_bar,0.7173017859458923,0.007023381534963846,0.7172890305519104,0.00829965341836214,0.7173017859458923,0.007023381534963846,0.009158221073448658
NOG,10002,1024,128.0,525312,278528,1024,9.546159267425537,100,0.1,8.0,0.3,y_bar,0.7170859575271606,0.007012848276644945,0.7170590758323669,0.007433020509779453,0.7170859575271606,0.007012848276644945,0.009117758832871914
SmoothedSGD,20002,1,,512,8192,1,0.06663632392883301,100,0.1,,0.05,x,0.722525417804718,0.01061572041362524,0.722525417804718,0.01061572041362524,,,
SmoothedSGD,20002,64,,32768,16384,64,0.533806562423706,100,0.1,,0.05,x,0.7224817872047424,0.010012995451688766,0.7224817872047424,0.010012995451688766,,,
SmoothedSGD,20002,128,,65536,24576,128,1.0349342823028564,100,0.1,,0.05,x,0.7224482893943787,0.009452818892896175,0.7224482893943787,0.009452818892896175,,,
SmoothedSGD,20002,192,,98304,32768,192,1.6381895542144775,100,0.1,,0.05,x,0.7224158644676208,0.00854666531085968,0.7224158644676208,0.00854666531085968,,,
SmoothedSGD,20002,256,,131072,40960,256,2.2020933628082275,100,0.1,,0.05,x,0.7223882079124451,0.00784620363265276,0.7223882079124451,0.00784620363265276,,,
SmoothedSGD,20002,320,,163840,49152,320,2.800079345703125,100,0.1,,0.05,x,0.7223467826843262,0.007939348928630352,0.7223467826843262,0.007939348928630352,,,
SmoothedSGD,20002,384,,196608,57344,384,3.3183469772338867,100,0.1,,0.05,x,0.7223007678985596,0.006847279146313667,0.7223007678985596,0.006847279146313667,,,
SmoothedSGD,20002,448,,229376,65536,448,3.8610475063323975,100,0.1,,0.05,x,0.7222727537155151,0.007207709364593029,0.7222727537155151,0.007207709364593029,,,
SmoothedSGD,20002,512,,262144,73728,512,4.3951051235198975,100,0.1,,0.05,x,0.7222232818603516,0.008443969301879406,0.7222232818603516,0.008443969301879406,,,
SmoothedSGD,20002,576,,294912,81920,576,4.956701993942261,100,0.1,,0.05,x,0.7221809029579163,0.008549492806196213,0.7221809029579163,0.008549492806196213,,,
SmoothedSGD,20002,640,,327680,90112,640,5.489310264587402,100,0.1,,0.05,x,0.7221417427062988,0.007954804226756096,0.7221417427062988,0.007954804226756096,,,
SmoothedSGD,20002,704,,360448,98304,704,5.978086709976196,100,0.1,,0.05,x,0.7221029996871948,0.0073518697172403336,0.7221029996871948,0.0073518697172403336,,,
SmoothedSGD,20002,768,,393216,106496,768,6.471516132354736,100,0.1,,0.05,x,0.722051739692688,0.007377608213573694,0.722051739692688,0.007377608213573694,,,
SmoothedSGD,20002,832,,425984,114688,832,6.97578501701355,100,0.1,,0.05,x,0.722004234790802,0.007219571620225906,0.722004234790802,0.007219571620225906,,,
SmoothedSGD,20002,896,,458752,122880,896,7.5968286991119385,100,0.1,,0.05,x,0.7219703197479248,0.008143927901983261,0.7219703197479248,0.008143927901983261,,,
SmoothedSGD,20002,960,,491520,131072,960,8.160201787948608,100,0.1,,0.05,x,0.7219439744949341,0.00751896807923913,0.7219439744949341,0.00751896807923913,,,
SmoothedSGD,20002,1024,,524288,139264,1024,8.744179725646973,100,0.1,,0.05,x,0.7219012379646301,0.006494252942502499,0.7219012379646301,0.006494252942502499,,,
NOG,10003,8,1.0,5120,16384,8,0.154252290725708,100,0.1,8.0,0.3,y_bar,0.7274916768074036,0.011617542244493961,0.7275162935256958,0.01081476267427206,0.7274916768074036,0.011617542244493961,0.011458994820713997
NOG,10003,72,9.0,37888,32768,72,0.6848843097686768,100,0.1,8.0,0.3,y_bar,0.7271050214767456,0.008187208324670792,0.7271031737327576,0.0078746248036623,0.7271050214767456,0.008187208324670792,0.008989685215055943
NOG,10003,136,17.0,70656,49152,136,1.2333106994628906,100,0.1,8.0,0.3,y_bar,0.7266628742218018,0.007871158421039581,0.7266066670417786,0.008632947690784931,0.7266628742218018,0.007871158421039581,0.009954564273357391
NOG,10003,200,25.0,103424,65536,200,1.780829668045044,100,0.1,8.0,0.3,y_bar,0.7260683178901672,0.008323985151946545,0.7260294556617737,0.007874727249145508,0.7260683178901672,0.008323985151946545,0.010212620720267296
NOG,10003,264,33.0,136192,81920,264,2.3170063495635986,100,0.1,8.0,0.3,y_bar,0.7255107760429382,0.008149424567818642,0.7254910469055176,0.007649398408830166,0.7255107760429382,0.008149424567818642,0.01100036222487688
NOG,10003,328,41.0,168960,98304,328,2.91408634185791,100,0.1,8.0,0.3,y_bar,0.7249086499214172,0.00825519673526287,0.7248771786689758,0.007936016656458378,0.7249086499214172,0.00825519673526287,0.008806952275335789
NOG,10003,392,49.0,201728,114688,392,3.4760921001434326,100,0.1,8.0,0.3,y_bar,0.724476158618927,0.007581090554594994,0.7244526743888855,0.007987289689481258,0.724476158618927,0.007581090554594994,0.00941944308578968
NOG,10003,456,57.0,234496,131072,456,4.0492353439331055,100,0.1,8.0,0.3,y_bar,0.7240828275680542,0.007916698232293129,0.7240638136863708,0.008482526056468487,0.7240828275680542,0.007916698232293129,0.007975392043590546
NOG,10003,520,65.0,267264,147456,520,4.704476356506348,100,0.1,8.0,0.3,y_bar,0.723788857460022,0.0077896723523736,0.7237668037414551,0.007720421999692917,0.723788857460022,0.0077896723523736,0.008201736956834793
NOG,10003,584,73.0,300032,163840,584,5.398756265640259,100,0.1,8.0,0.3,y_bar,0.7234851121902466,0.0076858787797391415,0.7234483957290649,0.007303977385163307,0.7234851121902466,0.0076858787797391415,0.010152550414204597
NOG,10003,648,81.0,332800,180224,648,6.022042512893677,100,0.1,8.0,0.3,y_bar,0.7232337594032288,0.007347297854721546,0.7232341170310974,0.007631866727024317,0.7232337594032288,0.007347297854721546,0.009807104244828224
NOG,10003,712,89.0,365568,196608,712,6.602921962738037,100,0.1,8.0,0.3,y_bar,0.723052442073822,0.00847411435097456,0.7230366468429565,0.007452621124684811,0.723052442073822,0.00847411435097456,0.009980698116123676
NOG,10003,776,97.0,398336,212992,776,7.197077035903931,100,0.1,8.0,0.3,y_bar,0.7228153944015503,0.008746255189180374,0.7228097915649414,0.007585064973682165,0.7228153944015503,0.008746255189180374,0.009156608954071999
NOG,10003,840,105.0,431104,229376,840,7.7907843589782715,100,0.1,8.0,0.3,y_bar,0.7226017713546753,0.007622210308909416,0.7225946187973022,0.00815205741673708,0.7226017713546753,0.007622210308909416,0.010477337054908276
NOG,10003,904,113.0,463872,245760,904,8.367743730545044,100,0.1,8.0,0.3,y_bar,0.7224302887916565,0.007845229469239712,0.7224159240722656,0.007317098788917065,0.7224302887916565,0.007845229469239712,0.009329564869403839
NOG,10003,968,121.0,496640,262144,968,8.93725299835205,100,0.1,8.0,0.3,y_bar,0.7222374081611633,0.006908959709107876,0.7222281694412231,0.007436107378453016,0.7222374081611633,0.006908959709107876,0.008423948660492897
NOG,10003,1024,128.0,525312,278528,1024,9.439950704574585,100,0.1,8.0,0.3,y_bar,0.7221159934997559,0.007645515259355307,0.7220959067344666,0.0072423783130943775,0.7221159934997559,0.007645515259355307,0.0097059216350317
SmoothedSGD,20003,1,,512,8192,1,0.05641984939575195,100,0.1,,0.05,x,0.7273703217506409,0.01091588195413351,0.7273703217506409,0.01091588195413351,,,
SmoothedSGD,20003,64,,32768,16384,64,0.5422799587249756,100,0.1,,0.05,x,0.7273614406585693,0.008504904806613922,0.7273614406585693,0.008504904806613922,,,
SmoothedSGD,20003,128,,65536,24576,128,1.09360933303833,100,0.1,,0.05,x,0.7273353338241577,0.009191539138555527,0.7273353338241577,0.009191539138555527,,,
SmoothedSGD,20003,192,,98304,32768,192,1.668306827545166,100,0.1,,0.05,x,0.7273159027099609,0.009158137254416943,0.7273159027099609,0.009158137254416943,,,
SmoothedSGD,20003,256,,131072,40960,256,2.201819896697998,100,0.1,,0.05,x,0.7273077964782715,0.007411330472677946,0.7273077964782715,0.007411330472677946,,,
SmoothedSGD,20003,320,,163840,49152,320,2.7935972213745117,100,0.1,,0.05,x,0.7272887825965881,0.00746671250090003,0.7272887825965881,0.00746671250090003,,,
SmoothedSGD,20003,384,,196608,57344,384,3.2920522689819336,100,0.1,,0.05,x,0.7272530794143677,0.006461090873926878,0.7272530794143677,0.006461090873926878,,,
SmoothedSGD,20003,448,,229376,65536,448,3.779308557510376,100,0.1,,0.05,x,0.7272343039512634,0.007126623298972845,0.7272343039512634,0.007126623298972845,,,
SmoothedSGD,20003,512,,262144,73728,512,4.260880708694458,100,0.1,,0.05,x,0.7271986603736877,0.008096403442323208,0.7271986603736877,0.008096403442323208,,,
SmoothedSGD,20003,576,,294912,81920,576,4.709941625595093,100,0.1,,0.05,x,0.727175772190094,0.007220234256237745,0.727175772190094,0.007220234256237745,,,
SmoothedSGD,20003,640,,327680,90112,640,5.2069151401519775,100,0.1,,0.05,x,0.7271531224250793,0.006463848985731602,0.7271531224250793,0.006463848985731602,,,
SmoothedSGD,20003,704,,360448,98304,704,5.706222295761108,100,0.1,,0.05,x,0.7271356582641602,0.00669206352904439,0.7271356582641602,0.00669206352904439,,,
SmoothedSGD,20003,768,,393216,106496,768,6.1792426109313965,100,0.1,,0.05,x,0.7271055579185486,0.006851883139461279,0.7271055579185486,0.006851883139461279,,,
SmoothedSGD,20003,832,,425984,114688,832,6.687605619430542,100,0.1,,0.05,x,0.727073073387146,0.006538845598697662,0.727073073387146,0.006538845598697662,,,
SmoothedSGD,20003,896,,458752,122880,896,7.277581214904785,100,0.1,,0.05,x,0.7270496487617493,0.006542874965816736,0.7270496487617493,0.006542874965816736,,,
SmoothedSGD,20003,960,,491520,131072,960,7.8248937129974365,100,0.1,,0.05,x,0.7270264029502869,0.007311786059290171,0.7270264029502869,0.007311786059290171,,,
SmoothedSGD,20003,1024,,524288,139264,1024,8.38999629020691,100,0.1,,0.05,x,0.7270049452781677,0.007506198715418577,0.7270049452781677,0.007506198715418577,,,
NOG,10004,8,1.0,5120,16384,8,0.16957736015319824,100,0.1,8.0,0.3,y_bar,0.7266939878463745,0.008647782728075981,0.7267450094223022,0.008353712037205696,0.7266939878463745,0.008647782728075981,0.011593158356845379
NOG,10004,72,9.0,37888,32768,72,0.7678117752075195,100,0.1,8.0,0.3,y_bar,0.7264959216117859,0.008706318214535713,0.7264668941497803,0.005911926738917828,0.7264959216117859,0.008706318214535713,0.010889365337789059
NOG,10004,136,17.0,70656,49152,136,1.3173861503601074,100,0.1,8.0,0.3,y_bar,0.7262519598007202,0.008046033792197704,0.7262214422225952,0.006956819444894791,0.7262519598007202,0.008046033792197704,0.010433947667479515
NOG,10004,200,25.0,103424,65536,200,1.912827968597412,100,0.1,8.0,0.3,y_bar,0.7260163426399231,0.007481930777430534,0.7260157465934753,0.00817381963133812,0.7260163426399231,0.007481930777430534,0.011039900593459606
NOG,10004,264,33.0,136192,81920,264,2.5568628311157227,100,0.1,8.0,0.3,y_bar,0.7256859540939331,0.007298910524696112,0.7256612777709961,0.008535134606063366,0.7256859540939331,0.007298910524696112,0.009568641893565655
