method,base_method,iteration,round,block_id,worker_count,eval_point,delta,target_delta,smoothing_delta,M,lr_or_eta,block_oracle_norm,time_sec,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy,evaluation_delta,candidate_id,candidate_parameters,candidate_rounds,target_total_work,dataset,comparison_method,dataset_key,train_accuracy,ablation_stage,ablation_method
NOG-ZO,NOG,42,42,21,8,y_bar,0.1,0.1,0.05,2,0.01,0.3709545135498047,2.940180778503418,0,100000,200000,952307147,szo,45056,45056,5632,"[5632, 5632, 5632, 5632, 5632, 5632, 5632, 5632]",1441792,44,44,-0.1976548284292221,0.239957183599472,0.1,NOG-ZO__M-2__eta-0p01__smooth_B-8,"{""M"": 2, ""eta"": 0.01, ""smooth_B"": 8}",958,983040,SyntheticMaxSinL1,latest_NOG-ZO,synthetic_maxsinl1,,,
NOG-ZO,NOG,46,46,23,8,y_bar,0.1,0.1,0.05,2,0.01,0.3777397871017456,3.2313082218170166,0,100000,200000,952307147,szo,49152,49152,6144,"[6144, 6144, 6144, 6144, 6144, 6144, 6144, 6144]",1572864,48,48,-0.2200580835342407,0.2381410002708435,0.1,NOG-ZO__M-2__eta-0p01__smooth_B-8,"{""M"": 2, ""eta"": 0.01, ""smooth_B"": 8}",958,983040,SyntheticMaxSinL1,latest_NOG-ZO,synthetic_maxsinl1,,,
NOG-ZO,NOG,50,50,25,8,y_bar,0.1,0.1,0.05,2,0.01,0.3572514355182647,3.5079762935638428,0,100000,200000,952307147,szo,53248,53248,6656,"[6656, 6656, 6656, 6656, 6656, 6656, 6656, 6656]",1703936,52,52,-0.2402186244726181,0.2363298237323761,0.1,NOG-ZO__M-2__eta-0p01__smooth_B-8,"{""M"": 2, ""eta"": 0.01, ""smooth_B"": 8}",958,983040,SyntheticMaxSinL1,latest_NOG-ZO,synthetic_maxsinl1,,,
NOG-ZO,NOG,54,54,27,8,y_bar,0.1,0.1,0.05,2,0.01,0.35577392578125,3.7954275608062735,0,100000,200000,952307147,szo,57344,57344,7168,"[7168, 7168, 7168, 7168, 7168, 7168, 7168, 7168]",1835008,56,56,-0.260095864534378,0.2343661189079284,0.1,NOG-ZO__M-2__eta-0p01__smooth_B-8,"{""M"": 2, ""eta"": 0.01, ""smooth_B"": 8}",958,983040,SyntheticMaxSinL1,latest_NOG-ZO,synthetic_maxsinl1,,,
NOG-ZO,NOG,58,58,29,8,y_bar,0.1,0.1,0.05,2,0.01,0.3728974163532257,4.072802782058716,0,100000,200000,952307147,szo,61440,61440,7680,"[7680, 7680, 7680, 7680, 7680, 7680, 7680, 7680]",1966080,60,60,-0.2780295610427856,0.2324301302433014,0.1,NOG-ZO__M-2__eta-0p01__smooth_B-8,"{""M"": 2, ""eta"": 0.01, ""smooth_B"": 8}",958,983040,SyntheticMaxSinL1,latest_NOG-ZO,synthetic_maxsinl1,,,
NOG-ZO,NOG,62,62,31,8,y_bar,0.1,0.1,0.05,2,0.01,0.428747296333313,4.353259325027466,0,100000,200000,952307147,szo,65536,65536,8192,"[8192, 8192, 8192, 8192, 8192, 8192, 8192, 8192]",2097152,64,64,-0.3019067645072937,0.2296479940414428,0.1,NOG-ZO__M-2__eta-0p01__smooth_B-8,"{""M"": 2, ""eta"": 0.01, ""smooth_B"": 8}",958,983040,SyntheticMaxSinL1,latest_NOG-ZO,synthetic_maxsinl1,,,
NOG-ZO,NOG,66,66,33,8,y_bar,0.1,0.1,0.05,2,0.01,0.3684688806533813,4.639509916305542,0,100000,200000,952307147,szo,69632,69632,8704,"[8704, 8704, 8704, 8704, 8704, 8704, 8704, 8704]",2228224,68,68,-0.3219597637653351,0.2271152138710022,0.1,NOG-ZO__M-2__eta-0p01__smooth_B-8,"{""M"": 2, ""eta"": 0.01, ""smooth_B"": 8}",958,983040,SyntheticMaxSinL1,latest_NOG-ZO,synthetic_maxsinl1,,,
NOG-ZO,NOG,70,70,35,8,y_bar,0.1,0.1,0.05,2,0.01,0.3803952932357788,4.927172422409058,0,100000,200000,952307147,szo,73728,73728,9216,"[9216, 9216, 9216, 9216, 9216, 9216, 9216, 9216]",2359296,72,72,-0.340802252292633,0.2245574742555618,0.1,NOG-ZO__M-2__eta-0p01__smooth_B-8,"{""M"": 2, ""eta"": 0.01, ""smooth_B"": 8}",958,983040,SyntheticMaxSinL1,latest_NOG-ZO,synthetic_maxsinl1,,,
NOG-ZO,NOG,74,74,37,8,y_bar,0.1,0.1,0.05,2,0.01,0.361528605222702,5.208345651626587,0,100000,200000,952307147,szo,77824,77824,9728,"[9728, 9728, 9728, 9728, 9728, 9728, 9728, 9728]",2490368,76,76,-0.3600296378135681,0.2217795103788375,0.1,NOG-ZO__M-2__eta-0p01__smooth_B-8,"{""M"": 2, ""eta"": 0.01, ""smooth_B"": 8}",958,983040,SyntheticMaxSinL1,latest_NOG-ZO,synthetic_maxsinl1,,,
NOG-ZO,NOG,78,78,39,8,y_bar,0.1,0.1,0.05,2,0.01,0.3300394117832184,5.482830762863159,0,100000,200000,952307147,szo,81920,81920,10240,"[10240, 10240, 10240, 10240, 10240, 10240, 10240, 10240]",2621440,80,80,-0.3810617923736572,0.2185333967208862,0.1,NOG-ZO__M-2__eta-0p01__smooth_B-8,"{""M"": 2, ""eta"": 0.01, ""smooth_B"": 8}",958,983040,SyntheticMaxSinL1,latest_NOG-ZO,synthetic_maxsinl1,,,
NOG-ZO,NOG,82,82,41,8,y_bar,0.1,0.1,0.05,2,0.01,0.3448547720909118,5.759568929672241,0,100000,200000,952307147,szo,86016,86016,10752,"[10752, 10752, 10752, 10752, 10752, 10752, 10752, 10752]",2752512,84,84,-0.3999064266681671,0.2154492288827896,0.1,NOG-ZO__M-2__eta-0p01__smooth_B-8,"{""M"": 2, ""eta"": 0.01, ""smooth_B"": 8}",958,983040,SyntheticMaxSinL1,latest_NOG-ZO,synthetic_maxsinl1,,,
NOG-ZO,NOG,86,86,43,8,y_bar,0.1,0.1,0.05,2,0.01,0.3725754916667938,6.031182765960693,0,100000,200000,952307147,szo,90112,90112,11264,"[11264, 11264, 11264, 11264, 11264, 11264, 11264, 11264]",2883584,88,88,-0.4189239144325256,0.2121177017688751,0.1,NOG-ZO__M-2__eta-0p01__smooth_B-8,"{""M"": 2, ""eta"": 0.01, ""smooth_B"": 8}",958,983040,SyntheticMaxSinL1,latest_NOG-ZO,synthetic_maxsinl1,,,
NOG-ZO,NOG,90,90,45,8,y_bar,0.1,0.1,0.05,2,0.01,0.3660342097282409,6.313369274139404,0,100000,200000,952307147,szo,94208,94208,11776,"[11776, 11776, 11776, 11776, 11776, 11776, 11776, 11776]",3014656,92,92,-0.4394381940364837,0.2082950472831726,0.1,NOG-ZO__M-2__eta-0p01__smooth_B-8,"{""M"": 2, ""eta"": 0.01, ""smooth_B"": 8}",958,983040,SyntheticMaxSinL1,latest_NOG-ZO,synthetic_maxsinl1,,,
NOG-ZO,NOG,94,94,47,8,y_bar,0.1,0.1,0.05,2,0.01,0.3490884602069855,6.593097925186157,0,100000,200000,952307147,szo,98304,98304,12288,"[12288, 12288, 12288, 12288, 12288, 12288, 12288, 12288]",3145728,96,96,-0.4561203420162201,0.2050139904022216,0.1,NOG-ZO__M-2__eta-0p01__smooth_B-8,"{""M"": 2, ""eta"": 0.01, ""smooth_B"": 8}",958,983040,SyntheticMaxSinL1,latest_NOG-ZO,synthetic_maxsinl1,,,
NOG-ZO,NOG,98,98,49,8,y_bar,0.1,0.1,0.05,2,0.01,0.3332076966762543,6.863401174545288,0,100000,200000,952307147,szo,102400,102400,12800,"[12800, 12800, 12800, 12800, 12800, 12800, 12800, 12800]",3276800,100,100,-0.474033921957016,0.201306864619255,0.1,NOG-ZO__M-2__eta-0p01__smooth_B-8,"{""M"": 2, ""eta"": 0.01, ""smooth_B"": 8}",958,983040,SyntheticMaxSinL1,latest_NOG-ZO,synthetic_maxsinl1,,,
NOG-ZO,NOG,102,102,51,8,y_bar,0.1,0.1,0.05,2,0.01,0.3214055597782135,7.139495611190796,0,100000,200000,952307147,szo,106496,106496,13312,"[13312, 13312, 13312, 13312, 13312, 13312, 13312, 13312]",3407872,104,104,-0.4907979965209961,0.1976595371961593,0.1,NOG-ZO__M-2__eta-0p01__smooth_B-8,"{""M"": 2, ""eta"": 0.01, ""smooth_B"": 8}",958,983040,SyntheticMaxSinL1,latest_NOG-ZO,synthetic_maxsinl1,,,
NOG-ZO,NOG,106,106,53,8,y_bar,0.1,0.1,0.05,2,0.01,0.3338326215744018,7.4144606590271,0,100000,200000,952307147,szo,110592,110592,13824,"[13824, 13824, 13824, 13824, 13824, 13824, 13824, 13824]",3538944,108,108,-0.5088881254196167,0.1934973150491714,0.1,NOG-ZO__M-2__eta-0p01__smooth_B-8,"{""M"": 2, ""eta"": 0.01, ""smooth_B"": 8}",958,983040,SyntheticMaxSinL1,latest_NOG-ZO,synthetic_maxsinl1,,,
NOG-ZO,NOG,110,110,55,8,y_bar,0.1,0.1,0.05,2,0.01,0.3159896731376648,7.685854434967041,0,100000,200000,952307147,szo,114688,114688,14336,"[14336, 14336, 14336, 14336, 14336, 14336, 14336, 14336]",3670016,112,112,-0.5276440382003784,0.1889378726482391,0.1,NOG-ZO__M-2__eta-0p01__smooth_B-8,"{""M"": 2, ""eta"": 0.01, ""smooth_B"": 8}",958,983040,SyntheticMaxSinL1,latest_NOG-ZO,synthetic_maxsinl1,,,
NOG-ZO,NOG,114,114,57,8,y_bar,0.1,0.1,0.05,2,0.01,0.3037281334400177,7.9658362865448,0,100000,200000,952307147,szo,118784,118784,14848,"[14848, 14848, 14848, 14848, 14848, 14848, 14848, 14848]",3801088,116,116,-0.5443549156188965,0.1846352368593216,0.1,NOG-ZO__M-2__eta-0p01__smooth_B-8,"{""M"": 2, ""eta"": 0.01, ""smooth_B"": 8}",958,983040,SyntheticMaxSinL1,latest_NOG-ZO,synthetic_maxsinl1,,,
NOG-ZO,NOG,118,118,59,8,y_bar,0.1,0.1,0.05,2,0.01,0.3137156367301941,8.244744539260864,0,100000,200000,952307147,szo,122880,122880,15360,"[15360, 15360, 15360, 15360, 15360, 15360, 15360, 15360]",3932160,120,120,-0.5594459772109985,0.1805678308010101,0.1,NOG-ZO__M-2__eta-0p01__smooth_B-8,"{""M"": 2, ""eta"": 0.01, ""smooth_B"": 8}",958,983040,SyntheticMaxSinL1,latest_NOG-ZO,synthetic_maxsinl1,,,
NOG-ZO,NOG,122,122,61,8,y_bar,0.1,0.1,0.05,2,0.01,0.3070096373558044,8.533838272094727,0,100000,200000,952307147,szo,126976,126976,15872,"[15872, 15872, 15872, 15872, 15872, 15872, 15872, 15872]",4063232,124,124,-0.5750412940979004,0.1761541217565536,0.1,NOG-ZO__M-2__eta-0p01__smooth_B-8,"{""M"": 2, ""eta"": 0.01, ""smooth_B"": 8}",958,983040,SyntheticMaxSinL1,latest_NOG-ZO,synthetic_maxsinl1,,,
NOG-ZO,NOG,126,126,63,8,y_bar,0.1,0.1,0.05,2,0.01,0.2763979136943817,8.817144393920898,0,100000,200000,952307147,szo,131072,131072,16384,"[16384, 16384, 16384, 16384, 16384, 16384, 16384, 16384]",4194304,128,128,-0.5928161144256592,0.1708632558584213,0.1,NOG-ZO__M-2__eta-0p01__smooth_B-8,"{""M"": 2, ""eta"": 0.01, ""smooth_B"": 8}",958,983040,SyntheticMaxSinL1,latest_NOG-ZO,synthetic_maxsinl1,,,
NOG-ZO,NOG,130,130,65,8,y_bar,0.1,0.1,0.05,2,0.01,0.2946794629096985,9.08945631980896,0,100000,200000,952307147,szo,135168,135168,16896,"[16896, 16896, 16896, 16896, 16896, 16896, 16896, 16896]",4325376,132,132,-0.6077572107315063,0.1661687493324279,0.1,NOG-ZO__M-2__eta-0p01__smooth_B-8,"{""M"": 2, ""eta"": 0.01, ""smooth_B"": 8}",958,983040,SyntheticMaxSinL1,latest_NOG-ZO,synthetic_maxsinl1,,,
NOG-ZO,NOG,134,134,67,8,y_bar,0.1,0.1,0.05,2,0.01,0.3340227007865906,9.357288360595703,0,100000,200000,952307147,szo,139264,139264,17408,"[17408, 17408, 17408, 17408, 17408, 17408, 17408, 17408]",4456448,136,136,-0.623271107673645,0.1610329002141952,0.1,NOG-ZO__M-2__eta-0p01__smooth_B-8,"{""M"": 2, ""eta"": 0.01, ""smooth_B"": 8}",958,983040,SyntheticMaxSinL1,latest_NOG-ZO,synthetic_maxsinl1,,,
NOG-ZO,NOG,138,138,69,8,y_bar,0.1,0.1,0.05,2,0.01,0.3177670240402221,9.63337540626526,0,100000,200000,952307147,szo,143360,143360,17920,"[17920, 17920, 17920, 17920, 17920, 17920, 17920, 17920]",4587520,140,140,-0.6361579895019531,0.1565416753292083,0.1,NOG-ZO__M-2__eta-0p01__smooth_B-8,"{""M"": 2, ""eta"": 0.01, ""smooth_B"": 8}",958,983040,SyntheticMaxSinL1,latest_NOG-ZO,synthetic_maxsinl1,,,
NOG-ZO,NOG,142,142,71,8,y_bar,0.1,0.1,0.05,2,0.01,0.2496602237224578,9.90887999534607,0,100000,200000,952307147,szo,147456,147456,18432,"[18432, 18432, 18432, 18432, 18432, 18432, 18432, 18432]",4718592,144,144,-0.6508758664131165,0.1511341780424118,0.1,NOG-ZO__M-2__eta-0p01__smooth_B-8,"{""M"": 2, ""eta"": 0.01, ""smooth_B"": 8}",958,983040,SyntheticMaxSinL1,latest_NOG-ZO,synthetic_maxsinl1,,,
NOG-ZO,NOG,146,146,73,8,y_bar,0.1,0.1,0.05,2,0.01,0.2380524724721908,10.185537815093994,0,100000,200000,952307147,szo,151552,151552,18944,"[18944, 18944, 18944, 18944, 18944, 18944, 18944, 18944]",4849664,148,148,-0.6649375557899475,0.145695224404335,0.1,NOG-ZO__M-2__eta-0p01__smooth_B-8,"{""M"": 2, ""eta"": 0.01, ""smooth_B"": 8}",958,983040,SyntheticMaxSinL1,latest_NOG-ZO,synthetic_maxsinl1,,,
NOG-ZO,NOG,150,150,75,8,y_bar,0.1,0.1,0.05,2,0.01,0.2858282029628753,10.463531732559204,0,100000,200000,952307147,szo,155648,155648,19456,"[19456, 19456, 19456, 19456, 19456, 19456, 19456, 19456]",4980736,152,152,-0.6767582297325134,0.1409046351909637,0.1,NOG-ZO__M-2__eta-0p01__smooth_B-8,"{""M"": 2, ""eta"": 0.01, ""smooth_B"": 8}",958,983040,SyntheticMaxSinL1,latest_NOG-ZO,synthetic_maxsinl1,,,
NOG-ZO,NOG,154,154,77,8,y_bar,0.1,0.1,0.05,2,0.01,0.2788297235965729,10.738888263702393,0,100000,200000,952307147,szo,159744,159744,19968,"[19968, 19968, 19968, 19968, 19968, 19968, 19968, 19968]",5111808,156,156,-0.6902967691421509,0.1351304650306701,0.1,NOG-ZO__M-2__eta-0p01__smooth_B-8,"{""M"": 2, ""eta"": 0.01, ""smooth_B"": 8}",958,983040,SyntheticMaxSinL1,latest_NOG-ZO,synthetic_maxsinl1,,,
NOG-ZO,NOG,158,158,79,8,y_bar,0.1,0.1,0.05,2,0.01,0.2403920292854309,11.008936405181885,0,100000,200000,952307147,szo,163840,163840,20480,"[20480, 20480, 20480, 20480, 20480, 20480, 20480, 20480]",5242880,160,160,-0.70216304063797,0.1297590881586074,0.1,NOG-ZO__M-2__eta-0p01__smooth_B-8,"{""M"": 2, ""eta"": 0.01, ""smooth_B"": 8}",958,983040,SyntheticMaxSinL1,latest_NOG-ZO,synthetic_maxsinl1,,,
NOG-ZO,NOG,162,162,81,8,y_bar,0.1,0.1,0.05,2,0.01,0.1994463205337524,11.278901100158691,0,100000,200000,952307147,szo,167936,167936,20992,"[20992, 20992, 20992, 20992, 20992, 20992, 20992, 20992]",5373952,164,164,-0.713819146156311,0.1241953372955322,0.1,NOG-ZO__M-2__eta-0p01__smooth_B-8,"{""M"": 2, ""eta"": 0.01, ""smooth_B"": 8}",958,983040,SyntheticMaxSinL1,latest_NOG-ZO,synthetic_maxsinl1,,,
NOG-ZO,NOG,166,166,83,8,y_bar,0.1,0.1,0.05,2,0.01,0.2244919687509536,11.547853469848633,0,100000,200000,952307147,szo,172032,172032,21504,"[21504, 21504, 21504, 21504, 21504, 21504, 21504, 21504]",5505024,168,168,-0.7247723340988159,0.1186547353863716,0.1,NOG-ZO__M-2__eta-0p01__smooth_B-8,"{""M"": 2, ""eta"": 0.01, ""smooth_B"": 8}",958,983040,SyntheticMaxSinL1,latest_NOG-ZO,synthetic_maxsinl1,,,
NOG-ZO,NOG,170,170,85,8,y_bar,0.1,0.1,0.05,2,0.01,0.2360009551048278,11.820297479629517,0,100000,200000,952307147,szo,176128,176128,22016,"[22016, 22016, 22016, 22016, 22016, 22016, 22016, 22016]",5636096,172,172,-0.7350298166275024,0.1131440177559852,0.1,NOG-ZO__M-2__eta-0p01__smooth_B-8,"{""M"": 2, ""eta"": 0.01, ""smooth_B"": 8}",958,983040,SyntheticMaxSinL1,latest_NOG-ZO,synthetic_maxsinl1,,,
NOG-ZO,NOG,174,174,87,8,y_bar,0.1,0.1,0.05,2,0.01,0.2346373945474624,12.08909797668457,0,100000,200000,952307147,szo,180224,180224,22528,"[22528, 22528, 22528, 22528, 22528, 22528, 22528, 22528]",5767168,176,176,-0.7444973587989807,0.1077745482325553,0.1,NOG-ZO__M-2__eta-0p01__smooth_B-8,"{""M"": 2, ""eta"": 0.01, ""smooth_B"": 8}",958,983040,SyntheticMaxSinL1,latest_NOG-ZO,synthetic_maxsinl1,,,
NOG-ZO,NOG,178,178,89,8,y_bar,0.1,0.1,0.05,2,0.01,0.2444992959499359,12.36761999130249,0,100000,200000,952307147,szo,184320,184320,23040,"[23040, 23040, 23040, 23040, 23040, 23040, 23040, 23040]",5898240,180,180,-0.7544653415679932,0.1017704010009765,0.1,NOG-ZO__M-2__eta-0p01__smooth_B-8,"{""M"": 2, ""eta"": 0.01, ""smooth_B"": 8}",958,983040,SyntheticMaxSinL1,latest_NOG-ZO,synthetic_maxsinl1,,,
NOG-ZO,NOG,182,182,91,8,y_bar,0.1,0.1,0.05,2,0.01,0.2206707447767257,12.64457368850708,0,100000,200000,952307147,szo,188416,188416,23552,"[23552, 23552, 23552, 23552, 23552, 23552, 23552, 23552]",6029312,184,184,-0.7635847330093384,0.0959046855568885,0.1,NOG-ZO__M-2__eta-0p01__smooth_B-8,"{""M"": 2, ""eta"": 0.01, ""smooth_B"": 8}",958,983040,SyntheticMaxSinL1,latest_NOG-ZO,synthetic_maxsinl1,,,
NOG-ZO,NOG,186,186,93,8,y_bar,0.1,0.1,0.05,2,0.01,0.206464797258377,12.918494939804075,0,100000,200000,952307147,szo,192512,192512,24064,"[24064, 24064, 24064, 24064, 24064, 24064, 24064, 24064]",6160384,188,188,-0.7726129293441772,0.0896796956658363,0.1,NOG-ZO__M-2__eta-0p01__smooth_B-8,"{""M"": 2, ""eta"": 0.01, ""smooth_B"": 8}",958,983040,SyntheticMaxSinL1,latest_NOG-ZO,synthetic_maxsinl1,,,
NOG-ZO,NOG,190,190,95,8,y_bar,0.1,0.1,0.05,2,0.01,0.2075417339801788,13.201714754104614,0,100000,200000,952307147,szo,196608,196608,24576,"[24576, 24576, 24576, 24576, 24576, 24576, 24576, 24576]",6291456,192,192,-0.7798517942428589,0.084329143166542,0.1,NOG-ZO__M-2__eta-0p01__smooth_B-8,"{""M"": 2, ""eta"": 0.01, ""smooth_B"": 8}",958,983040,SyntheticMaxSinL1,latest_NOG-ZO,synthetic_maxsinl1,,,
NOG-ZO,NOG,194,194,97,8,y_bar,0.1,0.1,0.05,2,0.01,0.2074543237686157,13.485897302627563,0,100000,200000,952307147,szo,200704,200704,25088,"[25088, 25088, 25088, 25088, 25088, 25088, 25088, 25088]",6422528,196,196,-0.7882179021835327,0.0776182040572166,0.1,NOG-ZO__M-2__eta-0p01__smooth_B-8,"{""M"": 2, ""eta"": 0.01, ""smooth_B"": 8}",958,983040,SyntheticMaxSinL1,latest_NOG-ZO,synthetic_maxsinl1,,,
NOG-ZO,NOG,198,198,99,8,y_bar,0.1,0.1,0.05,2,0.01,0.1909611672163009,13.759975671768188,0,100000,200000,952307147,szo,204800,204800,25600,"[25600, 25600, 25600, 25600, 25600, 25600, 25600, 25600]",6553600,200,200,-0.7946627140045166,0.0720197632908821,0.1,NOG-ZO__M-2__eta-0p01__smooth_B-8,"{""M"": 2, ""eta"": 0.01, ""smooth_B"": 8}",958,983040,SyntheticMaxSinL1,latest_NOG-ZO,synthetic_maxsinl1,,,
NOG-ZO,NOG,202,202,101,8,y_bar,0.1,0.1,0.05,2,0.01,0.1793395727872848,14.0323486328125,0,100000,200000,952307147,szo,208896,208896,26112,"[26112, 26112, 26112, 26112, 26112, 26112, 26112, 26112]",6684672,204,204,-0.8003501892089844,0.0666445717215538,0.1,NOG-ZO__M-2__eta-0p01__smooth_B-8,"{""M"": 2, ""eta"": 0.01, ""smooth_B"": 8}",958,983040,SyntheticMaxSinL1,latest_NOG-ZO,synthetic_maxsinl1,,,
NOG-ZO,NOG,206,206,103,8,y_bar,0.1,0.1,0.05,2,0.01,0.1678108274936676,14.305346727371216,0,100000,200000,952307147,szo,212992,212992,26624,"[26624, 26624, 26624, 26624, 26624, 26624, 26624, 26624]",6815744,208,208,-0.8058773279190063,0.0609734915196895,0.1,NOG-ZO__M-2__eta-0p01__smooth_B-8,"{""M"": 2, ""eta"": 0.01, ""smooth_B"": 8}",958,983040,SyntheticMaxSinL1,latest_NOG-ZO,synthetic_maxsinl1,,,
NOG-ZO,NOG,210,210,105,8,y_bar,0.1,0.1,0.05,2,0.01,0.1687340438365936,14.581957817077637,0,100000,200000,952307147,szo,217088,217088,27136,"[27136, 27136, 27136, 27136, 27136, 27136, 27136, 27136]",6946816,212,212,-0.8110911846160889,0.0550966598093509,0.1,NOG-ZO__M-2__eta-0p01__smooth_B-8,"{""M"": 2, ""eta"": 0.01, ""smooth_B"": 8}",958,983040,SyntheticMaxSinL1,latest_NOG-ZO,synthetic_maxsinl1,,,
